_id,num_stars
5369939fa3a729239d204247,
5369945ba3a729239d204415,
53699489a3a729239d204488,
539f0000a3a72946de9ebe34,3.0
5369976ca3a729239d204cb4,3.0
5369976ea3a729239d204cb9,3.0
53699784a3a729239d204cf4,3.0
53699a17a3a729239d2053d9,
5369903aa3a729239d20395a,3.0
536991daa3a729239d203d87,3.0
5369957fa3a729239d204736,
53699665a3a729239d2049a8,
53699776a3a729239d204cd1,3.0
53699fcfa3a729239d2061fd,
5416ac88a3a7291d308f8b22,
541e40b088ee38091a191ed6,
543f9ec9c751df168f0c9bd4,2.0
53699aa8a3a729239d205544,2.0
536998afa3a729239d205011,
5369a025a3a729239d2062cc,
536997fda3a729239d204e31,
53699717a3a729239d204bdd,
536993b4a3a729239d20427d,3.0
53699769a3a729239d204cab,3.0
5369a224a3a729239d206782,1.0
546d6ca5a3a72906fa09bdce,
54708c38c751df2396ccf75e,3.0
54773790c751df6b1372f5d5,3.0
54942501c751df6d8e04805b,
53dfdb5ea3a729110ca8d371,
54ae6223c751df637fde6535,
54b4df1dc751df026fae2614,3.0
54d33d2ac751df3949467389,3.0
54d615aac751df5c8d46738a,3.0
54e4a4efc751df4b9f46738a,
550aec50c751df4696882844,3.0
55520838c751df7640190c7f,
55520f4b88ee3818371c0bdd,
55520f4d88ee3818371c0bde,
55520f6988ee381c0e1c0be6,
55520f6ac751df7977190c86,
55520f6f88ee381c0e1c0be7,
55520f70c751df7832190ca7,
55520f79c751df7977190c89,
55520f7ec751df78d2190ca0,
55520f9988ee381e451c0c16,
5552127d88ee381e451c0c1d,
5552128488ee381e451c0c1e,
555b401bc751df4633190c7b,3.0
55520f8288ee381a501c0bee,
5552081388ee3818371c0bd7,
55848e95c751df6650a453b9,3.0
558abb1ec751df542ba453b9,
55e0866ac751df32e81f92b1,
5629ee3c88ee3828e912613c,2.0
5629ff4ac751df6595bd3534,3.0
562f4263c751df2244dcc3f1,3.0
56ab38e388ee380232e82d71,3.0
56fe661188ee38015fc352f8,3.0
57601252c751df1cedac31a0,3.0
57a89139c751df4b68bb5dd5,3.0
57cebf6188ee380b7db627a9,
57fe31c0c751df256e79df72,
582eddacc751df5abfc0bb7e,3.0
5878ee91a3a7291484cac838,
587f43b288ee3869dc9b81a5,3.0
587f830388ee3827119b81a5,3.0
58b988d7c751df32141a331b,3.0
59593650a3a7291dcf9c8299,
5959366fa3a7291dd09c8271,
53698ff4a3a729239d20389d,
54511377c751df28685a81f1,3.0
5878ee97a3a7291484cac83c,3.0
594d199388ee387a9e6a8f89,3.0
59f2f2f9c751df606ceb725a,
59f847b388ee38084eb8c29c,
5a130bbbc751df3489283dcc,3.0
5a203a66c751df11ec59a1d8,
5a258746c751df0f276ae654,3.0
5a507c8fb595081cd7014057,
5a53965288ee385e57737823,3.0
5a5988d5b5950806b4ecba32,
5a73d4bca3a7291379e5b926,3.0
5aa7c31d88ee3837d1a8441b,
5aa8ea47c751df494f0db33b,3.0
5798c695c751df5beefa6073,3.0
5ac5d2e5c751df3f642710f7,3.0
5af120f2b595087cfabcde86,3.0
5ab130e3c751df16bd5d1733,3.0
5b56023ec751df4902d34888,
5b5991c588ee3807423b22b1,
